@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/23 13:16:07:501',1,0.615102,-0.372069,0.118132,0.017177,0.432287,0.267061,0.181613,0.155992,0.276086,0.351596,0.333323,0.165072,0.283697,1,0,0,0,0,0
2,'2020/03/23 13:16:07:529',1,0.573655,-0.388149,0.165479,0.027967,0.480071,0.306989,0.224243,0.176059,0.259511,0.328114,0.304388,0.211485,0.309932,1,0,0,0,0,0
3,'2020/03/23 13:16:07:530',1,0.564781,-0.380777,0.172266,-0.003322,0.463431,0.328314,0.231618,0.165775,0.275497,0.359954,0.345627,0.175448,0.280852,1,0,0,0,0,0
4,'2020/03/23 13:16:07:547',1,0.599933,-0.367134,0.129478,-0.002763,0.44035,0.287367,0.18922,0.14104,0.181168,0.244495,0.255187,0.143232,0.256602,1,0,0,0,0,0
5,'2020/03/23 13:16:07:547',1,0.599933,-0.367134,0.129478,-0.002763,0.44035,0.287367,0.18922,0.14104,0.181168,0.244495,0.255187,0.143232,0.256602,1,0,0,0,0,0
6,'2020/03/23 13:16:07:559',1,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0.137434,0.205895,0.289842,0.298317,0.164612,0.319581,1,0,0,0,0,0
7,'2020/03/23 13:16:07:560',1,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0.137434,0.205895,0.289842,0.298317,0.164612,0.319581,1,0,0,0,0,0
8,'2020/03/23 13:16:07:570',1,0.543586,-0.401872,0.163092,0.030337,0.440373,0.254151,0.212132,0.131769,0.197215,0.293238,0.292992,0.134832,0.266718,1,0,0,0,0,0
9,'2020/03/23 13:16:07:582',1,0.526534,-0.381318,0.171649,0.056636,0.486511,0.284325,0.215194,0.164469,0.232047,0.334152,0.297418,0.155357,0.342768,1,0,0,0,0,0
10,'2020/03/23 13:16:07:594',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0.181812,0.245369,0.304253,0.328871,0.189735,0.312941,1,0,0,0,0,0
11,'2020/03/23 13:16:07:605',1,0.631576,-0.372336,0.103476,0.002979,0.434716,0.286264,0.192746,0.171031,0.281351,0.34328,0.328428,0.169119,0.306534,1,0,0,0,0,0
12,'2020/03/23 13:16:07:617',1,0.573572,-0.401264,0.141167,0.029506,0.459159,0.277685,0.217143,0.157982,0.254816,0.325588,0.298477,0.185735,0.280231,1,0,0,0,0,0
13,'2020/03/23 13:16:07:628',1,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0.190124,0.282226,0.346494,0.333828,0.189461,0.298927,1,0,0,0,0,0
14,'2020/03/23 13:16:07:640',1,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,1,0,0,0,0,0
15,'2020/03/23 13:16:07:640',1,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,1,0,0,0,0,0
16,'2020/03/23 13:16:07:651',1,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0.10918,0.179981,0.24563,0.256593,0.150005,0.264944,1,0,0,0,0,0
17,'2020/03/23 13:16:07:663',1,0.565772,-0.395141,0.137651,-0.003122,0.454039,0.275022,0.216505,0.151269,0.216771,0.297091,0.291474,0.161655,0.311471,1,0,0,0,0,0
18,'2020/03/23 13:16:07:675',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0.113544,0.188207,0.285026,0.307969,0.147552,0.271915,1,0,0,0,0,0
19,'2020/03/23 13:16:07:686',1,0.5132,-0.374092,0.180144,0.054542,0.463982,0.261515,0.226939,0.178283,0.222834,0.323525,0.287845,0.135081,0.32051,1,0,0,0,0,0
20,'2020/03/23 13:16:07:698',1,0.599597,-0.371513,0.172614,0.013598,0.469443,0.329973,0.250799,0.157145,0.239628,0.324246,0.329043,0.201999,0.340197,1,0,0,0,0,0
21,'2020/03/23 13:16:07:710',1,0.622138,-0.385776,0.101402,-0.003045,0.438238,0.296327,0.225873,0.181983,0.279131,0.326786,0.3197,0.165182,0.295083,1,0,0,0,0,0
22,'2020/03/23 13:16:07:710',1,0.622138,-0.385776,0.101402,-0.003045,0.438238,0.296327,0.225873,0.181983,0.279131,0.326786,0.3197,0.165182,0.295083,1,0,0,0,0,0
23,'2020/03/23 13:16:07:721',1,0.571089,-0.398479,0.125673,0.024555,0.436688,0.25695,0.197033,0.14937,0.267954,0.341275,0.318487,0.17032,0.270853,1,0,0,0,0,0
24,'2020/03/23 13:16:07:732',1,0.583064,-0.365895,0.18631,0.013515,0.472414,0.320067,0.221968,0.193272,0.275487,0.333921,0.320258,0.210845,0.320085,1,0,0,0,0,0
25,'2020/03/23 13:16:07:749',1,0.53576,-0.409652,0.146062,0.015788,0.494782,0.321183,0.219495,0.146502,0.251459,0.339677,0.325274,0.148794,0.259043,1,0,0,0,0,0
26,'2020/03/23 13:16:07:750',1,0.53576,-0.409652,0.146062,0.015788,0.494782,0.321183,0.219495,0.146502,0.251459,0.339677,0.325274,0.148794,0.259043,1,0,0,0,0,0
27,'2020/03/23 13:16:07:767',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0.155312,0.218277,0.286593,0.276853,0.149874,0.287882,1,0,0,0,0,0
28,'2020/03/23 13:16:07:779',1,0.543533,-0.415898,0.134822,-0.007086,0.45533,0.260562,0.207206,0.119325,0.196058,0.289953,0.316185,0.166294,0.30955,1,0,0,0,0,0
29,'2020/03/23 13:16:07:780',1,0.543533,-0.415898,0.134822,-0.007086,0.45533,0.260562,0.207206,0.119325,0.196058,0.289953,0.316185,0.166294,0.30955,1,0,0,0,0,0
30,'2020/03/23 13:16:07:790',1,0.521867,-0.381439,0.180754,0.044702,0.440958,0.253552,0.230516,0.168425,0.208435,0.310632,0.28937,0.135617,0.297424,1,0,0,0,0,0
31,'2020/03/23 13:16:07:802',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0.144721,0.229487,0.336015,0.32327,0.195356,0.356453,1,0,0,0,0,0
32,'2020/03/23 13:16:07:814',1,0.611072,-0.389001,0.119115,-0.001773,0.44605,0.30743,0.263082,0.185604,0.260088,0.30184,0.315564,0.160595,0.281343,1,0,0,0,0,0
