@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/24 18:45:39:054',1,0.575898,-0.395714,0.152977,0.029234,0.470752,0.292901,0.223215,0.167995,0.256769,0.326918,0.299344,0.199262,0.294152,1,0,0,0,0,0
2,'2020/03/24 18:45:39:089',1,0.575898,-0.395714,0.152977,0.029234,0.470752,0.292901,0.223215,0.167995,0.256769,0.326918,0.299344,0.199262,0.294152,1,0,0,0,0,0
3,'2020/03/24 18:45:39:089',1,0.585616,-0.360396,0.188784,0.000435,0.458358,0.331505,0.236081,0.178757,0.279237,0.352369,0.338409,0.179737,0.287042,1,0,0,0,0,0
4,'2020/03/24 18:45:39:090',1,0.519449,-0.414277,0.108898,0.024116,0.483456,0.277566,0.174592,0.107246,0.197063,0.276063,0.277943,0.122388,0.250701,1,0,0,0,0,0
5,'2020/03/24 18:45:39:090',1,0.606212,-0.349667,0.118187,0.001034,0.420401,0.264216,0.170937,0.120617,0.170744,0.239439,0.252515,0.146143,0.251754,1,0,0,0,0,0
6,'2020/03/24 18:45:39:101',1,0.56775,-0.392296,0.141731,-0.003284,0.455742,0.270867,0.214912,0.144368,0.209829,0.29262,0.29382,0.162858,0.316397,1,0,0,0,0,0
7,'2020/03/24 18:45:39:112',1,0.552138,-0.405946,0.159293,0.026751,0.451065,0.260069,0.208518,0.120179,0.192767,0.288565,0.301367,0.141594,0.266094,1,0,0,0,0,0
8,'2020/03/24 18:45:39:124',1,0.516486,-0.37625,0.176035,0.056571,0.475511,0.269405,0.220221,0.173948,0.229667,0.32962,0.289696,0.14032,0.330247,1,0,0,0,0,0
9,'2020/03/24 18:45:39:125',1,0.516486,-0.37625,0.176035,0.056571,0.475511,0.269405,0.220221,0.173948,0.229667,0.32962,0.289696,0.14032,0.330247,1,0,0,0,0,0
10,'2020/03/24 18:45:39:135',1,0.600044,-0.370575,0.169374,0.006109,0.462947,0.333144,0.271933,0.171256,0.243232,0.313895,0.32951,0.198373,0.32801,1,0,0,0,0,0
11,'2020/03/24 18:45:39:147',1,0.628801,-0.377447,0.100838,-0.00102,0.438245,0.294041,0.20899,0.178709,0.284322,0.337361,0.323666,0.168932,0.304324,1,0,0,0,0,0
