@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1010,'2020/03/23 13:24:32:384',2,0.549198,-0.405015,0.159896,0.027505,0.446144,0.257161,0.209087,0.123706,0.194328,0.289845,0.297822,0.138541,0.264875,0,0,0,0,0,0,0,1,0,0,0,0,0
1011,'2020/03/23 13:24:32:393',2,0.549198,-0.405015,0.159896,0.027505,0.446144,0.257161,0.209087,0.123706,0.194328,0.289845,0.297822,0.138541,0.264875,0,0,0,0,0,0,0,1,0,0,0,0,0
1012,'2020/03/23 13:24:32:401',2,0.519793,-0.377417,0.17487,0.057539,0.480577,0.274806,0.218105,0.17118,0.231945,0.332359,0.292506,0.145519,0.335225,0,0,0,0,0,0,0,1,0,0,0,0,0
1013,'2020/03/23 13:24:32:402',2,0.519793,-0.377417,0.17487,0.057539,0.480577,0.274806,0.218105,0.17118,0.231945,0.332359,0.292506,0.145519,0.335225,0,0,0,0,0,0,0,1,0,0,0,0,0
1014,'2020/03/23 13:24:32:402',2,0.519793,-0.377417,0.17487,0.057539,0.480577,0.274806,0.218105,0.17118,0.231945,0.332359,0.292506,0.145519,0.335225,0,0,0,0,0,0,0,1,0,0,0,0,0
1015,'2020/03/23 13:24:32:402',2,0.519793,-0.377417,0.17487,0.057539,0.480577,0.274806,0.218105,0.17118,0.231945,0.332359,0.292506,0.145519,0.335225,0,0,0,0,0,0,0,1,0,0,0,0,0
1016,'2020/03/23 13:24:32:407',2,0.597539,-0.372873,0.166025,0.004076,0.461509,0.333835,0.279529,0.177084,0.245554,0.311861,0.331538,0.197057,0.323086,0,0,0,0,0,0,0,1,0,0,0,0,0
1017,'2020/03/23 13:24:32:419',2,0.630663,-0.374843,0.101404,0.000112,0.437045,0.291217,0.201555,0.17533,0.283167,0.339302,0.324796,0.169028,0.306007,0,0,0,0,0,0,0,1,0,0,0,0,0
1018,'2020/03/23 13:24:32:419',2,0.630663,-0.374843,0.101404,0.000112,0.437045,0.291217,0.201555,0.17533,0.283167,0.339302,0.324796,0.169028,0.306007,0,0,0,0,0,0,0,1,0,0,0,0,0
1019,'2020/03/23 13:24:32:419',2,0.630663,-0.374843,0.101404,0.000112,0.437045,0.291217,0.201555,0.17533,0.283167,0.339302,0.324796,0.169028,0.306007,0,0,0,0,0,0,0,1,0,0,0,0,0
1020,'2020/03/23 13:24:32:431',2,0.569659,-0.403649,0.133706,0.027768,0.450219,0.268039,0.210566,0.151869,0.255748,0.327031,0.30217,0.179135,0.275045,0,0,0,0,0,0,0,1,0,0,0,0,0
1021,'2020/03/23 13:24:32:431',2,0.569659,-0.403649,0.133706,0.027768,0.450219,0.268039,0.210566,0.151869,0.255748,0.327031,0.30217,0.179135,0.275045,0,0,0,0,0,0,0,1,0,0,0,0,0
1022,'2020/03/23 13:24:32:443',2,0.591505,-0.356816,0.193649,0.006287,0.459249,0.325588,0.228268,0.193424,0.280383,0.341166,0.330185,0.196722,0.306882,0,0,0,0,0,0,0,1,0,0,0,0,0
