@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/24 23:47:45:585',1,0.606056,-0.360383,0.12807,-0.000778,0.435904,0.282488,0.183179,0.135346,0.174908,0.239944,0.252481,0.144457,0.254687,1,0,0,0,0,0
2,'2020/03/24 23:47:45:616',1,0.566407,-0.392471,0.14265,-0.005019,0.456737,0.268336,0.214062,0.139741,0.206913,0.290516,0.296785,0.164153,0.318945,1,0,0,0,0,0
3,'2020/03/24 23:47:45:617',1,0.566407,-0.392471,0.14265,-0.005019,0.456737,0.268336,0.214062,0.139741,0.206913,0.290516,0.296785,0.164153,0.318945,1,0,0,0,0,0
4,'2020/03/24 23:47:45:617',1,0.546373,-0.403859,0.160924,0.028457,0.442614,0.255102,0.21001,0.127136,0.195515,0.291206,0.295086,0.136258,0.264873,1,0,0,0,0,0
5,'2020/03/24 23:47:45:619',1,0.523325,-0.378749,0.173657,0.057595,0.484057,0.279673,0.216764,0.168454,0.232922,0.334006,0.295113,0.150249,0.338858,1,0,0,0,0,0
6,'2020/03/24 23:47:45:632',1,0.597458,-0.373705,0.163232,0.002929,0.460244,0.333249,0.283598,0.17998,0.245407,0.307733,0.330204,0.193466,0.318026,1,0,0,0,0,0
7,'2020/03/24 23:47:45:642',1,0.63154,-0.373329,0.102217,0.001341,0.435921,0.288966,0.196911,0.173274,0.282318,0.341062,0.326101,0.168685,0.30637,1,0,0,0,0,0
8,'2020/03/24 23:47:45:653',1,0.571862,-0.402523,0.137347,0.028897,0.454892,0.273022,0.214425,0.155205,0.255505,0.326571,0.300642,0.183093,0.278186,1,0,0,0,0,0
9,'2020/03/24 23:47:45:665',1,0.592229,-0.355247,0.194619,0.005083,0.457468,0.326982,0.230542,0.191797,0.28101,0.343237,0.331607,0.192788,0.302671,1,0,0,0,0,0
10,'2020/03/24 23:47:45:666',1,0.592229,-0.355247,0.194619,0.005083,0.457468,0.326982,0.230542,0.191797,0.28101,0.343237,0.331607,0.192788,0.302671,1,0,0,0,0,0
11,'2020/03/24 23:47:45:680',1,0.528445,-0.411746,0.13012,0.027395,0.500031,0.303217,0.19741,0.125567,0.221606,0.303524,0.296594,0.129572,0.248961,1,0,0,0,0,0
