@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
6175,'2020/03/23 13:42:19:540',6,0.538759,-0.394974,0.071664,0.010808,0.428311,0.240478,0.161694,0.103682,0.183635,0.249969,0.258274,0.135881,0.270767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6176,'2020/03/23 13:42:19:551',6,0.56055,-0.396398,0.128878,-0.009434,0.448907,0.282685,0.207709,0.149965,0.210953,0.276964,0.268601,0.143003,0.279419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6177,'2020/03/23 13:42:19:563',6,0.54302,-0.415907,0.13234,-0.010872,0.453369,0.259252,0.206913,0.121138,0.197738,0.290557,0.315543,0.168737,0.315193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6178,'2020/03/23 13:42:19:575',6,0.525124,-0.383936,0.179194,0.042499,0.438535,0.253244,0.229373,0.164995,0.207254,0.308988,0.290257,0.136099,0.293114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6179,'2020/03/23 13:42:19:586',6,0.563134,-0.387762,0.166927,0.041383,0.484444,0.307308,0.214532,0.145598,0.228958,0.33692,0.320988,0.191987,0.357846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6180,'2020/03/23 13:42:19:599',6,0.610732,-0.38653,0.124717,-0.001414,0.447832,0.310097,0.268039,0.185288,0.256987,0.299859,0.316833,0.162886,0.283294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6181,'2020/03/23 13:42:19:600',6,0.610732,-0.38653,0.124717,-0.001414,0.447832,0.310097,0.268039,0.185288,0.256987,0.299859,0.316833,0.162886,0.283294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6182,'2020/03/23 13:42:19:609',6,0.615102,-0.372069,0.118132,0.017177,0.432287,0.267061,0.181613,0.155992,0.276086,0.351596,0.333323,0.165072,0.283697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6183,'2020/03/23 13:42:19:621',6,0.573655,-0.388149,0.165479,0.027967,0.480071,0.306989,0.224243,0.176059,0.259511,0.328114,0.304388,0.211485,0.309932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6184,'2020/03/23 13:42:19:632',6,0.564781,-0.380777,0.172266,-0.003322,0.463431,0.328314,0.231618,0.165775,0.275497,0.359954,0.345627,0.175448,0.280852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6185,'2020/03/23 13:42:19:644',6,0.524489,-0.407597,0.095279,0.0218,0.467576,0.261969,0.167212,0.104539,0.189299,0.26488,0.270026,0.124544,0.258755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6186,'2020/03/23 13:42:19:655',6,0.599933,-0.367134,0.129478,-0.002763,0.44035,0.287367,0.18922,0.14104,0.181168,0.244495,0.255187,0.143232,0.256602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6187,'2020/03/23 13:42:19:667',6,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0.137434,0.205895,0.289842,0.298317,0.164612,0.319581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6188,'2020/03/23 13:42:19:667',6,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0.137434,0.205895,0.289842,0.298317,0.164612,0.319581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6189,'2020/03/23 13:42:19:679',6,0.543586,-0.401872,0.163092,0.030337,0.440373,0.254151,0.212132,0.131769,0.197215,0.293238,0.292992,0.134832,0.266718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6190,'2020/03/23 13:42:19:690',6,0.526534,-0.381318,0.171649,0.056636,0.486511,0.284325,0.215194,0.164469,0.232047,0.334152,0.297418,0.155357,0.342768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6191,'2020/03/23 13:42:19:702',6,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0.181812,0.245369,0.304253,0.328871,0.189735,0.312941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6192,'2020/03/23 13:42:19:714',6,0.631576,-0.372336,0.103476,0.002979,0.434716,0.286264,0.192746,0.171031,0.281351,0.34328,0.328428,0.169119,0.306534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6193,'2020/03/23 13:42:19:726',6,0.573572,-0.401264,0.141167,0.029506,0.459159,0.277685,0.217143,0.157982,0.254816,0.325588,0.298477,0.185735,0.280231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6194,'2020/03/23 13:42:19:737',6,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0.190124,0.282226,0.346494,0.333828,0.189461,0.298927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6195,'2020/03/23 13:42:19:737',6,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0.190124,0.282226,0.346494,0.333828,0.189461,0.298927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6196,'2020/03/23 13:42:19:748',6,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0.11912,0.213648,0.294634,0.290048,0.125673,0.247175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6197,'2020/03/23 13:42:19:760',6,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0.10918,0.179981,0.24563,0.256593,0.150005,0.264944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
