@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/23 14:25:27:552',1,0.575046,-0.399489,0.145277,0.029846,0.463445,0.282873,0.219899,0.161553,0.25551,0.326265,0.298639,0.190502,0.284719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,'2020/03/23 14:25:27:566',1,0.575046,-0.399489,0.145277,0.029846,0.463445,0.282873,0.219899,0.161553,0.25551,0.326265,0.298639,0.190502,0.284719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,'2020/03/23 14:25:27:566',1,0.589001,-0.356839,0.192586,0.001891,0.455914,0.329423,0.23469,0.186955,0.281976,0.349027,0.33582,0.186292,0.294928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,'2020/03/23 14:25:27:574',1,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,'2020/03/23 14:25:27:586',1,0.594362,-0.351414,0.104322,0.00485,0.410985,0.251806,0.168522,0.112127,0.17675,0.243878,0.254833,0.148301,0.259964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,'2020/03/23 14:25:27:598',1,0.567013,-0.393935,0.139164,-0.003048,0.454289,0.273015,0.215235,0.148143,0.213481,0.295002,0.291631,0.161649,0.313165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,'2020/03/23 14:25:27:609',1,0.553283,-0.408643,0.155497,0.021657,0.455309,0.261886,0.207056,0.115444,0.189708,0.286124,0.306011,0.145496,0.26911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,'2020/03/23 14:25:27:621',1,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,'2020/03/23 14:25:27:622',1,0.51347,-0.374707,0.178611,0.055162,0.467718,0.263517,0.224805,0.177533,0.225516,0.325865,0.288305,0.136173,0.323576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,'2020/03/23 14:25:27:632',1,0.600612,-0.370647,0.171855,0.01059,0.466982,0.331473,0.258334,0.162322,0.241615,0.321229,0.329507,0.2016,0.336771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,'2020/03/23 14:25:27:644',1,0.624671,-0.382821,0.101029,-0.002372,0.438367,0.295736,0.219933,0.180957,0.281446,0.330878,0.321209,0.167095,0.299129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,'2020/03/23 14:25:27:655',1,0.567875,-0.402031,0.125741,0.02406,0.438069,0.257683,0.199982,0.149205,0.265052,0.337763,0.315027,0.172844,0.272387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,'2020/03/23 14:25:27:668',1,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,'2020/03/23 14:25:27:679',1,0.53627,-0.408917,0.145207,0.020613,0.499167,0.320055,0.217101,0.143281,0.245991,0.332711,0.318657,0.143042,0.254506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,'2020/03/23 14:25:27:691',1,0.544579,-0.391423,0.066673,0.004854,0.413521,0.235358,0.161379,0.103355,0.185326,0.250049,0.260141,0.146049,0.277439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,'2020/03/23 14:25:27:692',1,0.544579,-0.391423,0.066673,0.004854,0.413521,0.235358,0.161379,0.103355,0.185326,0.250049,0.260141,0.146049,0.277439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,'2020/03/23 14:25:27:702',1,0.565414,-0.393086,0.135473,-0.003486,0.454233,0.285826,0.217543,0.158946,0.223409,0.293709,0.283142,0.155334,0.295233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,'2020/03/23 14:25:27:714',1,0.545528,-0.414417,0.138701,-0.001846,0.457845,0.262225,0.207625,0.117731,0.194289,0.289229,0.316324,0.163539,0.303133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,'2020/03/23 14:25:27:725',1,0.519734,-0.378735,0.181976,0.04678,0.443873,0.254169,0.231564,0.172106,0.210883,0.313398,0.289554,0.135734,0.301891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,'2020/03/23 14:25:27:737',1,0.577914,-0.384001,0.16923,0.034334,0.480745,0.314286,0.220413,0.144416,0.230355,0.334786,0.325041,0.197979,0.354604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,'2020/03/23 14:25:27:748',1,0.611815,-0.390642,0.114185,-0.002403,0.443968,0.304717,0.257525,0.185559,0.263417,0.304926,0.315329,0.159778,0.281222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,'2020/03/23 14:25:27:760',1,0.604333,-0.375672,0.122679,0.021232,0.432679,0.261345,0.182811,0.152128,0.274956,0.351477,0.331233,0.164366,0.276318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,'2020/03/23 14:25:27:772',1,0.573693,-0.382248,0.172646,0.025904,0.482765,0.313117,0.223357,0.180877,0.262909,0.328836,0.308247,0.21539,0.317338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,'2020/03/23 14:25:27:772',1,0.573693,-0.382248,0.172646,0.025904,0.482765,0.313117,0.223357,0.180877,0.262909,0.328836,0.308247,0.21539,0.317338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,'2020/03/23 14:25:27:784',1,0.551494,-0.393829,0.162305,-0.001626,0.469956,0.325665,0.228373,0.160193,0.272485,0.361473,0.346817,0.171896,0.276823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,'2020/03/23 14:25:27:795',1,0.526127,-0.406038,0.083694,0.015743,0.452587,0.250391,0.161262,0.100966,0.182804,0.255461,0.261214,0.122756,0.258977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,'2020/03/23 14:25:27:807',1,0.583503,-0.377651,0.132425,-0.003693,0.449266,0.293236,0.201478,0.149716,0.195926,0.255998,0.260492,0.14336,0.264575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,'2020/03/23 14:25:27:818',1,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,'2020/03/23 14:25:27:830',1,0.539155,-0.395532,0.169635,0.03548,0.438346,0.254326,0.219312,0.144457,0.202436,0.30011,0.292493,0.135297,0.274696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,'2020/03/23 14:25:27:841',1,0.535635,-0.386062,0.167905,0.0528,0.488394,0.292859,0.213209,0.157206,0.23068,0.335598,0.304858,0.167955,0.350672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,'2020/03/23 14:25:27:842',1,0.535635,-0.386062,0.167905,0.0528,0.488394,0.292859,0.213209,0.157206,0.23068,0.335598,0.304858,0.167955,0.350672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,'2020/03/23 14:25:27:853',1,0.604713,-0.37558,0.15041,-0.00039,0.453769,0.323554,0.282887,0.18252,0.245563,0.298548,0.324571,0.179927,0.300678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,'2020/03/23 14:25:27:865',1,0.630167,-0.370277,0.107843,0.007601,0.433436,0.280774,0.186782,0.166397,0.279006,0.346481,0.330996,0.167123,0.300937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,'2020/03/23 14:25:27:876',1,0.575553,-0.397898,0.148932,0.029452,0.467134,0.287864,0.221876,0.164935,0.256214,0.326715,0.298938,0.195107,0.28954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,'2020/03/23 14:25:27:889',1,0.588194,-0.357904,0.191092,0.001098,0.456853,0.330571,0.235537,0.182832,0.280703,0.35071,0.337083,0.182785,0.290657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,'2020/03/23 14:25:27:900',1,0.520242,-0.414751,0.113703,0.024703,0.487967,0.283577,0.179077,0.110501,0.201987,0.281692,0.281715,0.123207,0.249319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,'2020/03/23 14:25:27:912',1,0.600533,-0.349404,0.111684,0.003052,0.415066,0.257283,0.169112,0.115703,0.172928,0.24117,0.252917,0.146591,0.254782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,'2020/03/23 14:25:27:912',1,0.600533,-0.349404,0.111684,0.003052,0.415066,0.257283,0.169112,0.115703,0.172928,0.24117,0.252917,0.146591,0.254782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,'2020/03/23 14:25:27:924',1,0.567578,-0.392961,0.140658,-0.00288,0.455205,0.272108,0.215259,0.146458,0.211786,0.294104,0.292945,0.162458,0.31513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,'2020/03/23 14:25:27:935',1,0.552781,-0.407606,0.15748,0.024513,0.453535,0.261084,0.207453,0.11729,0.19091,0.287091,0.303724,0.143626,0.267276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,'2020/03/23 14:25:27:946',1,0.514537,-0.375415,0.177325,0.056023,0.471795,0.266314,0.222644,0.17602,0.227551,0.327463,0.288393,0.137466,0.326663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,'2020/03/23 14:25:27:958',1,0.600462,-0.370381,0.170778,0.008074,0.464782,0.332602,0.265513,0.166986,0.242586,0.317594,0.329704,0.200531,0.332879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,'2020/03/23 14:25:27:969',1,0.626868,-0.380068,0.100712,-0.00182,0.438414,0.29511,0.214443,0.180102,0.283455,0.33455,0.322493,0.168204,0.301967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,'2020/03/23 14:25:27:981',1,0.566971,-0.403646,0.127438,0.024979,0.441263,0.260086,0.203238,0.14931,0.261795,0.333931,0.310842,0.174427,0.272565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,'2020/03/23 14:25:27:981',1,0.566971,-0.403646,0.127438,0.024979,0.441263,0.260086,0.203238,0.14931,0.261795,0.333931,0.310842,0.174427,0.272565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,'2020/03/23 14:25:27:992',1,0.587367,-0.361381,0.190356,0.009504,0.465142,0.321918,0.223721,0.194766,0.278332,0.336835,0.325267,0.204843,0.315821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,'2020/03/23 14:25:28:006',1,0.535236,-0.409257,0.142986,0.024154,0.502152,0.318062,0.214035,0.139997,0.240811,0.326072,0.312884,0.138829,0.25209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,'2020/03/23 14:25:28:016',1,0.54503,-0.391473,0.064003,0.000799,0.406699,0.234335,0.162756,0.104991,0.18837,0.253317,0.265079,0.155194,0.284424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,'2020/03/23 14:25:28:027',1,0.563301,-0.395858,0.134241,-0.004523,0.453095,0.283524,0.218162,0.159225,0.224752,0.297274,0.286475,0.157835,0.299508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,'2020/03/23 14:25:28:039',1,0.547088,-0.413145,0.142635,0.003616,0.459978,0.263683,0.207784,0.115899,0.191882,0.287653,0.315156,0.159813,0.295623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,'2020/03/23 14:25:28:051',1,0.517626,-0.376658,0.182581,0.048721,0.447233,0.254914,0.231773,0.174613,0.212672,0.315067,0.288833,0.135272,0.305951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,'2020/03/23 14:25:28:051',1,0.517626,-0.376658,0.182581,0.048721,0.447233,0.254914,0.231773,0.174613,0.212672,0.315067,0.288833,0.135272,0.305951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,'2020/03/23 14:25:28:062',1,0.584506,-0.381329,0.170606,0.030538,0.479082,0.31813,0.224836,0.145028,0.231724,0.333468,0.326504,0.199922,0.352211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,'2020/03/23 14:25:28:074',1,0.612972,-0.391607,0.109827,-0.003333,0.441641,0.301852,0.251306,0.185003,0.266398,0.308131,0.315091,0.159471,0.282059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,'2020/03/23 14:25:28:085',1,0.597641,-0.379071,0.123901,0.022328,0.433045,0.259639,0.185126,0.151735,0.27543,0.351987,0.331017,0.165952,0.275175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,'2020/03/23 14:25:28:097',1,0.574923,-0.378878,0.175884,0.024067,0.482472,0.315243,0.223256,0.184266,0.266062,0.329886,0.310331,0.215946,0.319563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,'2020/03/23 14:25:28:109',1,0.544482,-0.401145,0.156046,-0.001175,0.472762,0.323435,0.226248,0.157713,0.270284,0.360778,0.346505,0.170598,0.275957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,'2020/03/23 14:25:28:121',1,0.528321,-0.403865,0.079512,0.013837,0.446167,0.246556,0.160013,0.100815,0.18176,0.25316,0.259384,0.124555,0.261016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,'2020/03/23 14:25:28:122',1,0.528321,-0.403865,0.079512,0.013837,0.446167,0.246556,0.160013,0.100815,0.18176,0.25316,0.259384,0.124555,0.261016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,'2020/03/23 14:25:28:132',1,0.573528,-0.384772,0.130436,-0.006287,0.450214,0.292444,0.205612,0.15245,0.202776,0.262432,0.262217,0.142565,0.268257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,'2020/03/23 14:25:28:144',1,0.555261,-0.402899,0.13735,-0.009883,0.455362,0.26235,0.20996,0.12944,0.20223,0.289549,0.306229,0.167521,0.320295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,'2020/03/23 14:25:28:155',1,0.536591,-0.392223,0.172602,0.037394,0.437361,0.25384,0.222074,0.149913,0.203938,0.302892,0.292516,0.136169,0.279629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,'2020/03/23 14:25:28:166',1,0.541747,-0.387294,0.166949,0.050364,0.487988,0.296297,0.21227,0.153331,0.229589,0.336161,0.308998,0.174375,0.354011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,'2020/03/23 14:25:28:178',1,0.606939,-0.377566,0.144847,-0.000542,0.452622,0.32027,0.280631,0.183012,0.246903,0.296745,0.321899,0.174724,0.295036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,'2020/03/23 14:25:28:190',1,0.627739,-0.369943,0.110323,0.00991,0.432801,0.277296,0.184212,0.163749,0.278197,0.34814,0.332022,0.166258,0.297003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
