@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
245,'2020/03/23 12:45:16:695',5,0.513519,-0.37402,0.181345,0.053065,0.458863,0.259089,0.22919,1,0,0,0,0,0
246,'2020/03/23 12:45:16:699',5,0.513519,-0.37402,0.181345,0.053065,0.458863,0.259089,0.22919,1,0,0,0,0,0
247,'2020/03/23 12:45:16:706',5,0.597295,-0.3735,0.172952,0.018189,0.472709,0.327653,0.242189,1,0,0,0,0,0
248,'2020/03/23 12:45:16:718',5,0.619249,-0.388777,0.102424,-0.003804,0.438232,0.296989,0.232878,1,0,0,0,0,0
249,'2020/03/23 12:45:16:729',5,0.577075,-0.393371,0.124993,0.023891,0.434444,0.256093,0.192748,1,0,0,0,0,0
250,'2020/03/23 12:45:16:741',5,0.57991,-0.36961,0.183498,0.016605,0.4766,0.319376,0.22232,1,0,0,0,0,0
251,'2020/03/23 12:45:16:753',5,0.536469,-0.409307,0.147765,0.010093,0.488528,0.321901,0.221835,1,0,0,0,0,0
252,'2020/03/23 12:45:16:764',5,0.538197,-0.395268,0.072429,0.011438,0.430053,0.241174,0.161698,1,0,0,0,0,0
253,'2020/03/23 12:45:16:765',5,0.538197,-0.395268,0.072429,0.011438,0.430053,0.241174,0.161698,1,0,0,0,0,0
254,'2020/03/23 12:45:16:776',5,0.561054,-0.395621,0.129348,-0.008684,0.449703,0.283795,0.207861,1,0,0,0,0,0
255,'2020/03/23 12:45:16:788',5,0.543141,-0.415662,0.132018,-0.011467,0.453105,0.259134,0.206982,1,0,0,0,0,0
256,'2020/03/23 12:45:16:799',5,0.526089,-0.384428,0.178821,0.042022,0.438069,0.253146,0.229,1,0,0,0,0,0
257,'2020/03/23 12:45:16:811',5,0.561489,-0.387972,0.166788,0.042138,0.484817,0.306531,0.214081,1,0,0,0,0,0
258,'2020/03/23 12:45:16:823',5,0.610578,-0.385913,0.126143,-0.001288,0.448307,0.310861,0.269278,1,0,0,0,0,0
259,'2020/03/23 12:45:16:834',5,0.616336,-0.37162,0.117738,0.016753,0.432295,0.267746,0.181548,1,0,0,0,0,0
260,'2020/03/23 12:45:16:834',5,0.616336,-0.37162,0.117738,0.016753,0.432295,0.267746,0.181548,1,0,0,0,0,0
261,'2020/03/23 12:45:16:846',5,0.573974,-0.388625,0.164712,0.028179,0.479594,0.306156,0.224339,1,0,0,0,0,0
262,'2020/03/23 12:45:16:857',5,0.566841,-0.378827,0.173799,-0.003031,0.463033,0.328761,0.232094,1,0,0,0,0,0
263,'2020/03/23 12:45:16:869',5,0.523658,-0.408488,0.095867,0.021629,0.46837,0.262477,0.167022,1,0,0,0,0,0
