@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/24 23:38:19:056',1,0.535827,-0.409874,0.147013,0.010818,0.489503,0.32164,0.221399,0,0,0,0,0,0,1,0,0,0,0,0
2,'2020/03/24 23:38:19:091',1,0.538759,-0.394974,0.071664,0.010808,0.428311,0.240478,0.161694,0,0,0,0,0,0,1,0,0,0,0,0
3,'2020/03/24 23:38:19:092',1,0.56055,-0.396398,0.128878,-0.009434,0.448907,0.282685,0.207709,0,0,0,0,0,0,1,0,0,0,0,0
4,'2020/03/24 23:38:19:093',1,0.54302,-0.415907,0.13234,-0.010872,0.453369,0.259252,0.206913,0,0,0,0,0,0,1,0,0,0,0,0
5,'2020/03/24 23:38:19:104',1,0.525124,-0.383936,0.179194,0.042499,0.438535,0.253244,0.229373,0,0,0,0,0,0,1,0,0,0,0,0
6,'2020/03/24 23:38:19:105',1,0.525124,-0.383936,0.179194,0.042499,0.438535,0.253244,0.229373,0,0,0,0,0,0,1,0,0,0,0,0
7,'2020/03/24 23:38:19:119',1,0.563134,-0.387762,0.166927,0.041383,0.484444,0.307308,0.214532,0,0,0,0,0,0,1,0,0,0,0,0
8,'2020/03/24 23:38:19:126',1,0.610732,-0.38653,0.124717,-0.001414,0.447832,0.310097,0.268039,0,0,0,0,0,0,1,0,0,0,0,0
9,'2020/03/24 23:38:19:148',1,0.573655,-0.388149,0.165479,0.027967,0.480071,0.306989,0.224243,0,0,0,0,0,0,1,0,0,0,0,0
10,'2020/03/24 23:38:19:149',1,0.573655,-0.388149,0.165479,0.027967,0.480071,0.306989,0.224243,0,0,0,0,0,0,1,0,0,0,0,0
11,'2020/03/24 23:38:19:161',1,0.564781,-0.380777,0.172266,-0.003322,0.463431,0.328314,0.231618,0,0,0,0,0,0,1,0,0,0,0,0
12,'2020/03/24 23:38:19:173',1,0.524489,-0.407597,0.095279,0.0218,0.467576,0.261969,0.167212,0,0,0,0,0,0,1,0,0,0,0,0
13,'2020/03/24 23:38:19:175',1,0.524489,-0.407597,0.095279,0.0218,0.467576,0.261969,0.167212,0,0,0,0,0,0,1,0,0,0,0,0
14,'2020/03/24 23:38:19:184',1,0.599933,-0.367134,0.129478,-0.002763,0.44035,0.287367,0.18922,0,0,0,0,0,0,1,0,0,0,0,0
15,'2020/03/24 23:38:19:196',1,0.564644,-0.393668,0.142199,-0.006096,0.456918,0.267115,0.213368,0,0,0,0,0,0,1,0,0,0,0,0
16,'2020/03/24 23:38:19:210',1,0.543586,-0.401872,0.163092,0.030337,0.440373,0.254151,0.212132,0,0,0,0,0,0,1,0,0,0,0,0
17,'2020/03/24 23:38:19:229',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0,0,0,0,0,0,1,0,0,0,0,0
18,'2020/03/24 23:38:19:230',1,0.598612,-0.374532,0.15932,0.001301,0.457879,0.330713,0.285183,0,0,0,0,0,0,1,0,0,0,0,0
19,'2020/03/24 23:38:19:253',1,0.631576,-0.372336,0.103476,0.002979,0.434716,0.286264,0.192746,0,0,0,0,0,0,1,0,0,0,0,0
20,'2020/03/24 23:38:19:253',1,0.631576,-0.372336,0.103476,0.002979,0.434716,0.286264,0.192746,0,0,0,0,0,0,1,0,0,0,0,0
21,'2020/03/24 23:38:19:254',1,0.631576,-0.372336,0.103476,0.002979,0.434716,0.286264,0.192746,0,0,0,0,0,0,1,0,0,0,0,0
22,'2020/03/24 23:38:19:269',1,0.590453,-0.355762,0.193945,0.003237,0.455901,0.328028,0.232934,0,0,0,0,0,0,1,0,0,0,0,0
23,'2020/03/24 23:38:19:277',1,0.524459,-0.41391,0.12386,0.025818,0.495767,0.295929,0.190001,0,0,0,0,0,0,1,0,0,0,0,0
24,'2020/03/24 23:38:19:294',1,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0,0,0,0,0,0,1,0,0,0,0,0
25,'2020/03/24 23:38:19:295',1,0.585516,-0.357391,0.095271,0.005356,0.408019,0.247823,0.168712,0,0,0,0,0,0,1,0,0,0,0,0
26,'2020/03/24 23:38:19:316',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0,0,0,0,0,0,1,0,0,0,0,0
27,'2020/03/24 23:38:19:317',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0,0,0,0,0,0,1,0,0,0,0,0
28,'2020/03/24 23:38:19:344',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0,0,0,0,0,0,1,0,0,0,0,0
29,'2020/03/24 23:38:19:345',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0,0,0,0,0,0,1,0,0,0,0,0
30,'2020/03/24 23:38:19:345',1,0.552157,-0.410086,0.153107,0.01861,0.456856,0.262298,0.206422,0,0,0,0,0,0,1,0,0,0,0,0
31,'2020/03/24 23:38:19:358',1,0.571089,-0.398479,0.125673,0.024555,0.436688,0.25695,0.197033,0,0,0,0,0,0,1,0,0,0,0,0
32,'2020/03/24 23:38:19:370',1,0.583064,-0.365895,0.18631,0.013515,0.472414,0.320067,0.221968,0,0,0,0,0,0,1,0,0,0,0,0
33,'2020/03/24 23:38:19:381',1,0.53576,-0.409652,0.146062,0.015788,0.494782,0.321183,0.219495,0,0,0,0,0,0,1,0,0,0,0,0
34,'2020/03/24 23:38:19:393',1,0.541592,-0.393279,0.068897,0.00811,0.421067,0.238038,0.161932,0,0,0,0,0,0,1,0,0,0,0,0
35,'2020/03/24 23:38:19:394',1,0.541592,-0.393279,0.068897,0.00811,0.421067,0.238038,0.161932,0,0,0,0,0,0,1,0,0,0,0,0
36,'2020/03/24 23:38:19:404',1,0.564395,-0.393329,0.133661,-0.005318,0.452624,0.285079,0.213624,0,0,0,0,0,0,1,0,0,0,0,0
37,'2020/03/24 23:38:19:416',1,0.543533,-0.415898,0.134822,-0.007086,0.45533,0.260562,0.207206,0,0,0,0,0,0,1,0,0,0,0,0
38,'2020/03/24 23:38:19:440',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0,0,0,0,0,0,1,0,0,0,0,0
39,'2020/03/24 23:38:19:443',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0,0,0,0,0,0,1,0,0,0,0,0
40,'2020/03/24 23:38:19:454',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0,0,0,0,0,0,1,0,0,0,0,0
41,'2020/03/24 23:38:19:455',1,0.570604,-0.386177,0.168036,0.038146,0.48277,0.310796,0.21709,0,0,0,0,0,0,1,0,0,0,0,0
42,'2020/03/24 23:38:19:469',1,0.610146,-0.373412,0.120673,0.019529,0.43251,0.264002,0.181823,0,0,0,0,0,0,1,0,0,0,0,0
43,'2020/03/24 23:38:19:477',1,0.610146,-0.373412,0.120673,0.019529,0.43251,0.264002,0.181823,0,0,0,0,0,0,1,0,0,0,0,0
44,'2020/03/24 23:38:19:498',1,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0,0,0,0,0,0,1,0,0,0,0,0
45,'2020/03/24 23:38:19:498',1,0.525025,-0.407053,0.089179,0.018577,0.459938,0.255788,0.163875,0,0,0,0,0,0,1,0,0,0,0,0
46,'2020/03/24 23:38:19:512',1,0.591933,-0.372855,0.131057,-0.003296,0.445583,0.291475,0.195889,0,0,0,0,0,0,1,0,0,0,0,0
47,'2020/03/24 23:38:19:513',1,0.591933,-0.372855,0.131057,-0.003296,0.445583,0.291475,0.195889,0,0,0,0,0,0,1,0,0,0,0,0
48,'2020/03/24 23:38:19:531',1,0.541105,-0.3992,0.165975,0.032638,0.438833,0.253748,0.215161,0,0,0,0,0,0,1,0,0,0,0,0
49,'2020/03/24 23:38:19:544',1,0.530626,-0.383951,0.169449,0.054736,0.48774,0.288674,0.214055,0,0,0,0,0,0,1,0,0,0,0,0
