timestamp,sound
0.0,C
,Delay
0.6239996,A
,Delay
1.4919996,D
,Delay
2.5169992,A
,Delay
2.7329998,C
,Delay
3.6029997,D
,Delay
3.9719992,C
,Delay
4.5529995,B
,Delay
4.6519995,C
,Delay
5.244999,B
,Delay
5.6660004,C
,Delay
6.202999,B
,Delay
6.851,D
,Delay
7.0369987,D
,Delay
8.309999,D
,Delay
8.851,C
,Delay
9.317999,D
,Delay
9.859999,C
,Delay
10.267,A
,Delay
10.476,B
,Delay
11.034,B
,Delay
11.479,A
,Delay
12.015999,B
,Delay
12.441,C
,Delay
12.691999,A
,Delay
13.071999,D
,Delay
13.264,D
,Delay
13.733,C
,Delay
14.237999,C
,Delay
14.715,D
,Delay
15.063999,C
,Delay
15.566,D
,Delay
15.789,B
,Delay
16.178999,C
,Delay
16.704,A
,Delay
16.831999,C
,Delay
17.303,B
,Delay
17.836,D
,Delay
18.122,A
,Delay
19.206,C
,Delay
19.407999,D
,Delay
19.871,D
,Delay
20.333,C
,Delay
20.891998,B
,Delay
21.301998,C
,Delay
21.850998,D
,Delay
22.269001,B
,Delay
22.945,D
,Delay
23.2,C
,Delay
23.665,A
,Delay
24.196999,C
,Delay
24.717,A
,Delay
25.649998,D
,Delay
25.804,C
,Delay
26.499,A
,Delay
27.272999,D
,Delay
27.384998,B
,Delay
27.835999,D
,Delay
28.050999,C
,Delay
29.611,B
,Delay
29.798,A
,Delay
30.127998,D
,Delay
30.592999,A
,Delay
30.960999,B
,Delay
31.423,A
,Delay
