timestamp,sound
0.0,B
,Delay
2.446,D
,Delay
3.868,D
,Delay
4.299,C
,Delay
4.7339997,C
,Delay
6.6340003,C
,Delay
7.1109996,C
,Delay
8.853001,C
,Delay
9.353001,D
,Delay
10.976999,B
,Delay
12.02,B
,Delay
13.754999,D
,Delay
15.177,D
,Delay
15.625,C
,Delay
16.08,C
,Delay
17.955,C
,Delay
18.439999,C
,Delay
20.171999,C
,Delay
20.64,D
,Delay
22.296,B
,Delay
23.348,B
,Delay
25.078,D
,Delay
26.505999,D
,Delay
26.955,C
,Delay
27.392,C
,Delay
29.294998,C
,Delay
29.75,C
,Delay
31.506,C
,Delay
31.956001,D
,Delay
