@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2020/03/22 20:51:26:696',1,0.562925,-0.397339,0.134478,-0.004294,0.453251,0.280314,0.218769,0.157857,0.223845,0.300193,0.290554,0.161083,0.306055,1,0,0,0,0,0
2,'2020/03/22 20:51:26:722',1,0.562925,-0.397339,0.134478,-0.004294,0.453251,0.280314,0.218769,0.157857,0.223845,0.300193,0.290554,0.161083,0.306055,1,0,0,0,0,0
3,'2020/03/22 20:51:26:722',1,0.562925,-0.397339,0.134478,-0.004294,0.453251,0.280314,0.218769,0.157857,0.223845,0.300193,0.290554,0.161083,0.306055,1,0,0,0,0,0
4,'2020/03/22 20:51:26:723',1,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,0.112671,0.188181,0.285561,0.313279,0.154986,0.284513,1,0,0,0,0,0
5,'2020/03/22 20:51:26:723',1,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,0.112671,0.188181,0.285561,0.313279,0.154986,0.284513,1,0,0,0,0,0
6,'2020/03/22 20:51:26:723',1,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,0.112671,0.188181,0.285561,0.313279,0.154986,0.284513,1,0,0,0,0,0
7,'2020/03/22 20:51:26:724',1,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,0.112671,0.188181,0.285561,0.313279,0.154986,0.284513,1,0,0,0,0,0
8,'2020/03/22 20:51:26:724',1,0.548941,-0.411595,0.148555,0.012121,0.461165,0.264177,0.206606,0.112671,0.188181,0.285561,0.313279,0.154986,0.284513,1,0,0,0,0,0
9,'2020/03/22 20:51:26:725',1,0.514776,-0.374429,0.182317,0.051489,0.453861,0.257057,0.230938,0.177939,0.21703,0.318676,0.288183,0.134724,0.312654,1,0,0,0,0,0
10,'2020/03/22 20:51:26:725',1,0.514776,-0.374429,0.182317,0.051489,0.453861,0.257057,0.230938,0.177939,0.21703,0.318676,0.288183,0.134724,0.312654,1,0,0,0,0,0
11,'2020/03/22 20:51:26:726',1,0.514776,-0.374429,0.182317,0.051489,0.453861,0.257057,0.230938,0.177939,0.21703,0.318676,0.288183,0.134724,0.312654,1,0,0,0,0,0
12,'2020/03/22 20:51:26:731',1,0.593373,-0.376545,0.172278,0.023046,0.475565,0.32441,0.234561,0.147979,0.234587,0.330341,0.327905,0.201384,0.347141,1,0,0,0,0,0
13,'2020/03/22 20:51:26:732',1,0.593373,-0.376545,0.172278,0.023046,0.475565,0.32441,0.234561,0.147979,0.234587,0.330341,0.327905,0.201384,0.347141,1,0,0,0,0,0
14,'2020/03/22 20:51:26:732',1,0.593373,-0.376545,0.172278,0.023046,0.475565,0.32441,0.234561,0.147979,0.234587,0.330341,0.327905,0.201384,0.347141,1,0,0,0,0,0
15,'2020/03/22 20:51:26:742',1,0.616273,-0.39083,0.104575,-0.00407,0.438897,0.298221,0.240144,0.183454,0.271526,0.315226,0.316166,0.16113,0.286527,1,0,0,0,0,0
16,'2020/03/22 20:51:26:743',1,0.616273,-0.39083,0.104575,-0.00407,0.438897,0.298221,0.240144,0.183454,0.271526,0.315226,0.316166,0.16113,0.286527,1,0,0,0,0,0
17,'2020/03/22 20:51:26:743',1,0.616273,-0.39083,0.104575,-0.00407,0.438897,0.298221,0.240144,0.183454,0.271526,0.315226,0.316166,0.16113,0.286527,1,0,0,0,0,0
18,'2020/03/22 20:51:26:744',1,0.616273,-0.39083,0.104575,-0.00407,0.438897,0.298221,0.240144,0.183454,0.271526,0.315226,0.316166,0.16113,0.286527,1,0,0,0,0,0
19,'2020/03/22 20:51:26:753',1,0.58433,-0.387877,0.12427,0.023068,0.433322,0.256982,0.189471,0.150291,0.273057,0.348237,0.326284,0.16654,0.271553,1,0,0,0,0,0
20,'2020/03/22 20:51:26:754',1,0.58433,-0.387877,0.12427,0.023068,0.433322,0.256982,0.189471,0.150291,0.273057,0.348237,0.326284,0.16654,0.271553,1,0,0,0,0,0
21,'2020/03/22 20:51:26:755',1,0.58433,-0.387877,0.12427,0.023068,0.433322,0.256982,0.189471,0.150291,0.273057,0.348237,0.326284,0.16654,0.271553,1,0,0,0,0,0
22,'2020/03/22 20:51:26:765',1,0.57748,-0.373268,0.180612,0.019828,0.479858,0.318115,0.222894,0.189319,0.270971,0.331624,0.314146,0.215079,0.32141,1,0,0,0,0,0
23,'2020/03/22 20:51:26:766',1,0.57748,-0.373268,0.180612,0.019828,0.479858,0.318115,0.222894,0.189319,0.270971,0.331624,0.314146,0.215079,0.32141,1,0,0,0,0,0
